"search-number","evaluation","evals-requested-so-far","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","500","75","80","-20","10","""1582866741""","116","116","116","0","116"
"1","2","500","75","80","-20","10","""1852925183""","105","105","105","0","105"
"1","3","500","75","80","-20","10","""-1997863259""","125","125","125","0","125"
"1","4","500","75","80","-20","10","""432798287""","129","129","129","0","129"
"1","5","500","75","80","-20","10","""-1718953632""","116","116","116","0","116"
"1","6","500","75","80","-20","10","""661934395""","136","136","136","0","136"
"1","7","500","75","80","-20","10","""511194732""","98","98","98","0","98"
"1","8","500","75","80","-20","10","""-517287580""","123","123","123","0","123"
"1","9","500","75","80","-20","10","""192823270""","140","140","140","0","140"
"1","10","500","75","80","-20","10","""1570839330""","122","122","122","0","122"
"1","11","500","50","60","-20","0","""-1135175244""","0","0","0","0","0"
"1","12","500","50","60","-20","0","""690146648""","0","0","0","0","0"
"1","13","500","50","60","-20","0","""2066494402""","0","0","0","0","0"
"1","14","500","50","60","-20","0","""-983042595""","0","0","0","0","0"
"1","15","500","50","60","-20","0","""1607779328""","0","0","0","0","0"
"1","16","500","50","60","-20","0","""217641119""","0","0","0","0","0"
"1","17","500","50","60","-20","0","""-2071275357""","0","0","0","0","0"
"1","18","500","50","60","-20","0","""1637238308""","0","0","0","0","0"
"1","19","500","50","60","-20","0","""604175776""","0","0","0","0","0"
"1","20","500","50","60","-20","0","""-1821812720""","0","0","0","0","0"
"1","21","500","75","70","5","10","""84322535""","60","60","60","0","60"
"1","22","500","75","70","5","10","""2051427688""","50","50","50","0","50"
"1","23","500","75","70","5","10","""1066168444""","73","73","73","0","73"
"1","24","500","75","70","5","10","""-1485044222""","38","38","38","0","38"
"1","25","500","75","70","5","10","""1154134033""","73","73","73","0","73"
"1","26","500","75","70","5","10","""-600253387""","24","24","24","0","24"
"1","27","500","75","70","5","10","""-135417823""","39","39","39","0","39"
"1","28","500","75","70","5","10","""1466520493""","69","69","69","0","69"
"1","29","500","75","70","5","10","""1370825388""","42","42","42","0","42"
"1","30","500","75","70","5","10","""-1390694825""","34","34","34","0","34"
"1","31","500","50","55","-20","5","""1317902164""","0","0","0","0","0"
"1","32","500","50","55","-20","5","""1112789606""","0","0","0","0","0"
"1","33","500","50","55","-20","5","""1341568962""","0","0","0","0","0"
"1","34","500","50","55","-20","5","""-409392294""","0","0","0","0","0"
"1","35","500","50","55","-20","5","""1766525801""","0","0","0","0","0"
"1","36","500","50","55","-20","5","""-10662295""","0","0","0","0","0"
"1","37","500","50","55","-20","5","""-192786138""","0","0","0","0","0"
"1","38","500","50","55","-20","5","""1206734856""","0","0","0","0","0"
"1","39","500","50","55","-20","5","""1444253312""","0","0","0","0","0"
"1","40","500","50","55","-20","5","""-1563122464""","0","0","0","0","0"
"1","41","500","65","60","-5","-5","""-1324795124""","0","0","0","0","0"
"1","42","500","65","60","-5","-5","""-600283914""","0","0","0","0","0"
"1","43","500","65","60","-5","-5","""-1211215548""","0","0","0","0","0"
"1","44","500","65","60","-5","-5","""-1787215586""","0","0","0","0","0"
"1","45","500","65","60","-5","-5","""1215928918""","0","0","0","0","0"
"1","46","500","65","60","-5","-5","""1506186441""","0","0","0","0","0"
"1","47","500","65","60","-5","-5","""2067328702""","0","0","0","0","0"
"1","48","500","65","60","-5","-5","""1112790133""","0","0","0","0","0"
"1","49","500","65","60","-5","-5","""1516920447""","0","0","0","0","0"
"1","50","500","65","60","-5","-5","""1444649222""","0","0","0","0","0"
"1","51","500","55","60","10","-15","""-107939441""","0","0","0","0","0"
"1","52","500","55","60","10","-15","""637247379""","0","0","0","0","0"
"1","53","500","55","60","10","-15","""-1335598629""","0","0","0","0","0"
"1","54","500","55","60","10","-15","""-16069361""","0","0","0","0","0"
"1","55","500","55","60","10","-15","""1526655313""","0","0","0","0","0"
"1","56","500","55","60","10","-15","""1847081819""","0","0","0","0","0"
"1","57","500","55","60","10","-15","""1501292028""","0","0","0","0","0"
"1","58","500","55","60","10","-15","""402151483""","0","0","0","0","0"
"1","59","500","55","60","10","-15","""-490762370""","0","0","0","0","0"
"1","60","500","55","60","10","-15","""1379929688""","0","0","0","0","0"
"1","61","500","70","70","25","5","""-1953479377""","12","12","12","0","12"
"1","62","500","70","70","25","5","""-282344348""","11","11","11","0","11"
"1","63","500","70","70","25","5","""1958684013""","24","24","24","0","24"
"1","64","500","70","70","25","5","""801577022""","6","6","6","0","6"
"1","65","500","70","70","25","5","""1910022014""","24","24","24","0","24"
