"search-number","evaluation","evals-requested-so-far","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","160","75","80","-20","10","""-1743967334""","109","109","109","0","109"
"1","2","160","75","80","-20","10","""846486302""","123","123","123","0","123"
"1","3","160","75","80","-20","10","""-187853988""","110","110","110","0","110"
"1","4","160","75","80","-20","10","""915005231""","131","131","131","0","131"
"1","5","160","75","80","-20","10","""-1858330307""","117","117","117","0","117"
"1","6","160","75","80","-20","10","""-1255487605""","142","142","142","0","142"
"1","7","160","75","80","-20","10","""1800260541""","134","134","134","0","134"
"1","8","160","75","80","-20","10","""936880758""","131","131","131","0","131"
"1","9","160","75","80","-20","10","""1325241903""","121","121","121","0","121"
"1","10","160","75","80","-20","10","""-528160803""","107","107","107","0","107"
"1","11","160","50","60","-20","0","""1040509665""","0","0","0","0","0"
"1","12","160","50","60","-20","0","""1219207957""","0","0","0","0","0"
"1","13","160","50","60","-20","0","""769137697""","0","0","0","0","0"
"1","14","160","50","60","-20","0","""-1557212516""","0","0","0","0","0"
"1","15","160","50","60","-20","0","""-56568815""","0","0","0","0","0"
"1","16","160","50","60","-20","0","""169092781""","0","0","0","0","0"
"1","17","160","50","60","-20","0","""-349752900""","0","0","0","0","0"
"1","18","160","50","60","-20","0","""1402274408""","0","0","0","0","0"
"1","19","160","50","60","-20","0","""1264134994""","0","0","0","0","0"
"1","20","160","50","60","-20","0","""-1424151618""","0","0","0","0","0"
"1","21","160","75","70","5","10","""-1396269197""","63","63","63","0","63"
"1","22","160","75","70","5","10","""738299855""","69","69","69","0","69"
"1","23","160","75","70","5","10","""2075310472""","85","85","85","0","85"
"1","24","160","75","70","5","10","""1479157521""","62","62","62","0","62"
"1","25","160","75","70","5","10","""1196955321""","33","33","33","0","33"
"1","26","160","75","70","5","10","""-340493622""","59","59","59","0","59"
"1","27","160","75","70","5","10","""-902477662""","55","55","55","0","55"
"1","28","160","75","70","5","10","""-1952073567""","48","48","48","0","48"
"1","29","160","75","70","5","10","""1800715333""","50","50","50","0","50"
"1","30","160","75","70","5","10","""-1491075532""","54","54","54","0","54"
"1","31","160","50","55","-20","5","""325033516""","0","0","0","0","0"
"1","32","160","50","55","-20","5","""-1901280061""","0","0","0","0","0"
"1","33","160","50","55","-20","5","""339528313""","0","0","0","0","0"
"1","34","160","50","55","-20","5","""-878968903""","0","0","0","0","0"
"1","35","160","50","55","-20","5","""-106926027""","0","0","0","0","0"
"1","36","160","50","55","-20","5","""754709938""","0","0","0","0","0"
"1","37","160","50","55","-20","5","""1761107456""","0","0","0","0","0"
"1","38","160","50","55","-20","5","""603914030""","0","0","0","0","0"
"1","39","160","50","55","-20","5","""-1164359463""","0","0","0","0","0"
"1","40","160","50","55","-20","5","""-452950514""","0","0","0","0","0"
"1","41","160","65","60","-5","-5","""-1510599007""","0","0","0","0","0"
"1","42","160","65","60","-5","-5","""-1592410298""","0","0","0","0","0"
"1","43","160","65","60","-5","-5","""-1851344425""","0","0","0","0","0"
"1","44","160","65","60","-5","-5","""1219119985""","0","0","0","0","0"
"1","45","160","65","60","-5","-5","""67479425""","0","0","0","0","0"
"1","46","160","65","60","-5","-5","""1575775737""","0","0","0","0","0"
"1","47","160","65","60","-5","-5","""1182289119""","0","0","0","0","0"
"1","48","160","65","60","-5","-5","""-655294101""","0","0","0","0","0"
"1","49","160","65","60","-5","-5","""1773524823""","0","0","0","0","0"
"1","50","160","65","60","-5","-5","""-1977247998""","0","0","0","0","0"
"1","51","160","55","60","10","-15","""-677747473""","0","0","0","0","0"
"1","52","160","55","60","10","-15","""140806528""","0","0","0","0","0"
"1","53","160","55","60","10","-15","""-191833011""","0","0","0","0","0"
"1","54","160","55","60","10","-15","""-383283368""","0","0","0","0","0"
"1","55","160","55","60","10","-15","""-842890312""","0","0","0","0","0"
"1","56","160","55","60","10","-15","""-645708664""","0","0","0","0","0"
"1","57","160","55","60","10","-15","""1195818158""","0","0","0","0","0"
"1","58","160","55","60","10","-15","""2107015983""","0","0","0","0","0"
"1","59","160","55","60","10","-15","""-37171709""","0","0","0","0","0"
"1","60","160","55","60","10","-15","""-1187134903""","0","0","0","0","0"
"1","61","160","70","70","25","5","""-84139337""","18","18","18","0","18"
"1","62","160","70","70","25","5","""-201398488""","4","4","4","0","4"
"1","63","160","70","70","25","5","""1860553515""","23","23","23","0","23"
"1","64","160","70","70","25","5","""1627009051""","9","9","9","0","9"
"1","65","160","70","70","25","5","""-447538553""","14","14","14","0","14"
"1","66","160","70","70","25","5","""-549510529""","9","9","9","0","9"
"1","67","160","70","70","25","5","""2110096554""","3","3","3","0","3"
"1","68","160","70","70","25","5","""1519230443""","10","10","10","0","10"
