"search-number","evaluation","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","fitness","num-replicates","best-fitness-so-far"
"1","10","75","80","-20","10","122.5","10","122.5"
"1","20","50","60","-20","0","0","10","122.5"
"1","30","75","70","5","10","57.8","10","122.5"
"1","40","50","55","-20","5","0","10","122.5"
"1","50","65","60","-5","-5","0","10","122.5"
"1","60","55","60","10","-15","0","10","122.5"
"1","70","70","70","25","5","14.1","10","122.5"
"1","80","55","70","-25","-5","0","10","122.5"
"1","90","50","80","20","0","0","10","122.5"
"1","100","60","70","-20","10","0","10","122.5"
"1","110","80","75","-5","10","138.5","10","138.5"
"1","120","55","70","-25","10","0","10","138.5"
"1","130","75","50","0","-20","0","10","138.5"
"1","140","50","50","-25","-5","0","10","138.5"
"1","150","80","50","-10","-25","0","10","138.5"
"1","160","55","55","10","20","0","10","138.5"
"1","170","80","80","10","-15","103.3","10","138.5"
"1","180","50","50","10","10","0","10","138.5"
"1","190","60","60","-5","-5","0","10","138.5"
"1","200","65","60","-25","5","0","10","138.5"
"1","210","50","50","0","5","0","10","138.5"
"1","220","50","75","-20","-5","0","10","138.5"
"1","230","60","60","20","10","0","10","138.5"
"1","240","50","60","15","-5","0","10","138.5"
"1","250","75","70","-5","-25","0.2","10","138.5"
"1","260","55","50","-5","-5","0","10","138.5"
"1","270","75","75","-5","5","84.2","10","138.5"
"1","280","75","65","-5","-25","0","10","138.5"
"1","290","55","50","-5","-5","0","10","138.5"
"1","300","75","50","-5","-10","0","10","138.5"
